x,y
0.000000000000000000e+00,7.917070373519466964e-01
1.000000000000000000e+00,7.917070373519466964e-01
2.000000000000000000e+00,7.921222786862555099e-01
3.000000000000000000e+00,7.921025052893836405e-01
4.000000000000000000e+00,7.922013722737428765e-01
5.000000000000000000e+00,7.921815988768710071e-01
6.000000000000000000e+00,7.930318549423605035e-01
7.000000000000000000e+00,7.944357661202617882e-01
8.000000000000000000e+00,7.960967314574970422e-01
9.000000000000000000e+00,7.975006426353983269e-01
1.000000000000000000e+01,7.992604749569928169e-01
1.100000000000000000e+01,8.016135091847428340e-01
1.200000000000000000e+01,8.042829177624424286e-01
1.300000000000000000e+01,8.066359519901924457e-01
1.400000000000000000e+01,8.088110256460957492e-01
1.500000000000000000e+01,8.112036066675893942e-01
1.600000000000000000e+01,8.138532418484171194e-01
1.700000000000000000e+01,8.162458228699108753e-01
1.800000000000000000e+01,8.183615763351985706e-01
1.900000000000000000e+01,8.194886599568940166e-01
2.000000000000000000e+01,8.203586894192553824e-01
2.100000000000000000e+01,8.214857730409507175e-01
2.200000000000000000e+01,8.220196547564906364e-01
2.300000000000000000e+01,8.209914381191545374e-01
2.400000000000000000e+01,8.201214086567931716e-01
2.500000000000000000e+01,8.190931920194570726e-01
2.600000000000000000e+01,8.173333596978624715e-01
2.700000000000000000e+01,8.140509758171355914e-01
2.800000000000000000e+01,8.107092717457932141e-01
2.900000000000000000e+01,8.074268878650663339e-01
3.000000000000000000e+01,8.033140213157218268e-01
3.100000000000000000e+01,7.982915785102723261e-01
3.200000000000000000e+01,7.934470962766693169e-01
3.300000000000000000e+01,7.884246534712198162e-01
3.400000000000000000e+01,7.831451565064362352e-01
3.500000000000000000e+01,7.775690585885749462e-01
3.600000000000000000e+01,7.713799853676862606e-01
3.700000000000000000e+01,7.658038874498249715e-01
3.800000000000000000e+01,7.606628042631443654e-01
3.900000000000000000e+01,7.552053467265141817e-01
4.000000000000000000e+01,7.499258497617306007e-01
4.100000000000000000e+01,7.444683922251003061e-01
4.200000000000000000e+01,7.408696339944238485e-01
4.300000000000000000e+01,7.381211318292369983e-01
4.400000000000000000e+01,7.353726296640500371e-01
4.500000000000000000e+01,7.326241274988630758e-01
4.600000000000000000e+01,7.320111521958356793e-01
4.700000000000000000e+01,7.328614082613251757e-01
4.800000000000000000e+01,7.341071322642517272e-01
4.900000000000000000e+01,7.349573883297411125e-01
5.000000000000000000e+01,7.385363731635458118e-01
5.100000000000000000e+01,7.444090720344848089e-01
5.200000000000000000e+01,7.499851699523460979e-01
5.300000000000000000e+01,7.558578688232852061e-01
5.400000000000000000e+01,7.634706266189468238e-01
5.500000000000000000e+01,7.735748324204615445e-01
5.600000000000000000e+01,7.840151859687976010e-01
5.700000000000000000e+01,7.941193917703122107e-01
5.800000000000000000e+01,8.049552132560852113e-01
5.900000000000000000e+01,8.179858817946334959e-01
6.000000000000000000e+01,8.309572301425661722e-01
6.100000000000000000e+01,8.439878986811144568e-01
6.200000000000000000e+01,8.567812864572005305e-01
6.300000000000000000e+01,8.701678761394420203e-01
6.400000000000000000e+01,8.835149190279397713e-01
6.500000000000000000e+01,8.969015087101813721e-01
6.600000000000000000e+01,9.090226009926245521e-01
6.700000000000000000e+01,9.204516243845529688e-01
6.800000000000000000e+01,9.320190615545844715e-01
6.900000000000000000e+01,9.434480849465129992e-01
7.000000000000000000e+01,9.528602218575129568e-01
7.100000000000000000e+01,9.607300338125086547e-01
7.200000000000000000e+01,9.688371265299665636e-01
7.300000000000000000e+01,9.767069384849623725e-01
7.400000000000000000e+01,9.824609969746702642e-01
7.500000000000000000e+01,9.864947699365274048e-01
7.600000000000000000e+01,9.902714887390504650e-01
7.700000000000000000e+01,9.943052617009076055e-01
7.800000000000000000e+01,9.967373895161449893e-01
7.900000000000000000e+01,9.980622071065587964e-01
8.000000000000000000e+01,9.986158622189705847e-01
8.100000000000000000e+01,9.999406798093845028e-01
8.200000000000000000e+01,1.000000000000000000e+00
8.300000000000000000e+01,9.989322365689201622e-01
8.400000000000000000e+01,9.980622071065587964e-01
8.500000000000000000e+01,9.969944436754789585e-01
8.600000000000000000e+01,9.958871334506554929e-01
8.700000000000000000e+01,9.940284341447017669e-01
8.800000000000000000e+01,9.922290550293635381e-01
8.900000000000000000e+01,9.903703557234097010e-01
9.000000000000000000e+01,9.884127894330967390e-01
9.100000000000000000e+01,9.862179423803215661e-01
9.200000000000000000e+01,9.841812825025211264e-01
9.300000000000000000e+01,9.819864354497459535e-01
9.400000000000000000e+01,9.803056967156388302e-01
9.500000000000000000e+01,9.787040515690190734e-01
9.600000000000000000e+01,9.772605935973740499e-01
9.700000000000000000e+01,9.756589484507544041e-01
9.800000000000000000e+01,9.748877859727522743e-01
9.900000000000000000e+01,9.740770767010065168e-01
1.000000000000000000e+02,9.733652344136198842e-01
1.010000000000000000e+02,9.725545251418741266e-01
1.020000000000000000e+02,9.723567911731556546e-01
1.030000000000000000e+02,9.712297075514603195e-01
1.040000000000000000e+02,9.699839835485337680e-01
1.050000000000000000e+02,9.688568999268384330e-01
1.060000000000000000e+02,9.681450576394519114e-01
1.070000000000000000e+02,9.660490775710359745e-01
1.080000000000000000e+02,9.638937773120044294e-01
1.090000000000000000e+02,9.617977972435884926e-01
1.100000000000000000e+02,9.600775117157376304e-01
1.110000000000000000e+02,9.570719553912166999e-01
1.120000000000000000e+02,9.543432266229014971e-01
1.130000000000000000e+02,9.513376702983805666e-01
1.140000000000000000e+02,9.489846360706305495e-01
1.150000000000000000e+02,9.457417989836474081e-01
1.160000000000000000e+02,9.424198683091767892e-01
1.170000000000000000e+02,9.391770312221936479e-01
1.180000000000000000e+02,9.359539675320823759e-01
1.190000000000000000e+02,9.323947560951495461e-01
1.200000000000000000e+02,9.288355446582168273e-01
1.210000000000000000e+02,9.252763332212841085e-01
1.220000000000000000e+02,9.216578015937357815e-01
1.230000000000000000e+02,9.180788167599311933e-01
1.240000000000000000e+02,9.145393787198702329e-01
1.250000000000000000e+02,9.109603938860656447e-01
1.260000000000000000e+02,9.064322860024123241e-01
1.270000000000000000e+02,9.023589662468115558e-01
1.280000000000000000e+02,8.977517647756707575e-01
1.290000000000000000e+02,8.936784450200699892e-01
1.300000000000000000e+02,8.880232535147213335e-01
1.310000000000000000e+02,8.822098748343978336e-01
1.320000000000000000e+02,8.762976291697150977e-01
1.330000000000000000e+02,8.704842504893915978e-01
1.340000000000000000e+02,8.638601625373223403e-01
1.350000000000000000e+02,8.564451387103790836e-01
1.360000000000000000e+02,8.488719277084609827e-01
1.370000000000000000e+02,8.414569038815178370e-01
1.380000000000000000e+02,8.330927570047258479e-01
1.390000000000000000e+02,8.240167678405473373e-01
1.400000000000000000e+02,8.153164732169339013e-01
1.410000000000000000e+02,8.062404840527553906e-01
1.420000000000000000e+02,7.968283471417554331e-01
1.430000000000000000e+02,7.869416487058311649e-01
1.440000000000000000e+02,7.773317778261127353e-01
1.450000000000000000e+02,7.674450793901884671e-01
1.460000000000000000e+02,7.582899966385224788e-01
1.470000000000000000e+02,7.492931010618314458e-01
1.480000000000000000e+02,7.409685009787831955e-01
1.490000000000000000e+02,7.319716054020920515e-01
1.500000000000000000e+02,7.245170347814050560e-01
1.510000000000000000e+02,7.186047891167223201e-01
1.520000000000000000e+02,7.124354892927056149e-01
1.530000000000000000e+02,7.065232436280228789e-01
1.540000000000000000e+02,7.025883376505249744e-01
1.550000000000000000e+02,7.008285053289304845e-01
1.560000000000000000e+02,6.991675399916951195e-01
1.570000000000000000e+02,6.974077076701006295e-01
1.580000000000000000e+02,6.973483874794851323e-01
1.590000000000000000e+02,6.996618749134914106e-01
1.600000000000000000e+02,7.020544559349850555e-01
1.610000000000000000e+02,7.043679433689913338e-01
1.620000000000000000e+02,7.078678346153085554e-01
1.630000000000000000e+02,7.130484645957329004e-01
1.640000000000000000e+02,7.181104541949261399e-01
1.650000000000000000e+02,7.232910841753504849e-01
1.660000000000000000e+02,7.287287683151087991e-01
1.670000000000000000e+02,7.342850928360983298e-01
1.680000000000000000e+02,7.399402843414469855e-01
1.690000000000000000e+02,7.454966088624365161e-01
1.700000000000000000e+02,7.502422241116801782e-01
1.710000000000000000e+02,7.551657999327704429e-01
1.720000000000000000e+02,7.598125481976548690e-01
1.730000000000000000e+02,7.647361240187451337e-01
1.740000000000000000e+02,7.687303501868586464e-01
1.750000000000000000e+02,7.723884286081506012e-01
1.760000000000000000e+02,7.762640143950328975e-01
1.770000000000000000e+02,7.799220928163249633e-01
1.780000000000000000e+02,7.813457773910980064e-01
1.790000000000000000e+02,7.813457773910980064e-01
